timestamp,usedPEs,jobsRunning,JobsInLongQueue,JobsInMediumQueue
1.39907504825E9,193,4,0,0
1.39907866225E9,241,5,0,0
1.39908228725E9,241,5,0,0
1.39908593225E9,241,5,0,0
1.39908954925E9,193,4,0,0
1.39909318525E9,193,4,0,0
1.39909684725E9,193,4,0,0
1.39910049325E9,193,4,0,0
1.39910411325E9,193,4,0,0
1.39910773825E9,193,4,0,0
1.39911135725E9,193,4,0,0
1.39911496225E9,193,4,0,0
1.39911860725E9,193,4,0,0
1.39912221425E9,205,5,0,0
1.39912582125E9,157,4,0,0
1.39912950725E9,85,3,0,0
1.39913315425E9,85,3,0,0
1.39913683625E9,73,2,0,0
1.39914043825E9,73,2,0,0
1.39914409825E9,73,2,0,0
1.39914773925E9,73,2,0,0
1.39915136725E9,73,2,0,0
1.39915498925E9,170,3,0,0
1.39915859325E9,170,3,0,0
1.3991621945E9,170,3,0,0
1.39916579575E9,218,4,0,0
1.399169397E9,266,5,0,0
1.39917299825E9,218,4,0,0
1.3991765995E9,170,3,0,0
1.39918020075E9,170,3,0,0
1.399183802E9,278,5,0,0
1.39918740325E9,398,7,0,0
1.3991910045E9,398,7,0,0
1.39919462625E9,386,7,0,0
1.39919823525E9,338,6,0,0
1.39920183925E9,302,5,0,0
1.39920544125E9,302,5,0,0
1.39920907425E9,302,5,0,0
1.39921268625E9,302,5,0,0
1.39921629325E9,302,5,0,0
1.39921993425E9,302,5,0,0
1.39922355925E9,302,5,0,0
1.39922716025E9,302,5,0,0
1.39923080325E9,302,5,0,0
1.39923442025E9,350,6,0,0
1.39923803225E9,350,6,0,0
1.39924164225E9,350,6,0,0
1.39924525525E9,290,5,0,0
1.39924886325E9,242,4,0,0
1.39925247725E9,242,4,0,0
1.39925609625E9,302,5,0,0
1.39925969725E9,326,6,0,0
1.39926333325E9,302,5,0,0
1.39926694225E9,350,7,0,0
1.39927055625E9,350,7,0,0
1.39927416925E9,350,7,0,0
1.3992778245E9,386,7,0,0
1.39928143575E9,386,7,0,0
1.399285089E9,386,7,0,0
1.39928869625E9,386,7,0,0
1.3992923425E9,386,7,0,0
1.39929595225E9,386,7,0,0
1.399299559E9,386,7,0,0
1.3993031745E9,326,6,0,0
1.39930678825E9,326,6,0,0
1.39931039025E9,338,7,0,0
1.39931400175E9,338,7,0,0
1.39931760325E9,338,7,0,0
1.39932120525E9,350,8,0,0
1.39932485525E9,338,7,0,0
1.39932846125E9,338,7,0,0
1.39933212925E9,338,7,0,0
1.39933574525E9,338,7,0,0
1.39933937225E9,337,11,0,0
1.39934301625E9,289,9,0,0
1.39934669025E9,265,8,0,0
1.39935033225E9,265,8,0,0
1.39935402525E9,241,7,0,0
1.39935765925E9,241,7,0,0
1.39936140925E9,241,7,0,0
1.39936503725E9,229,6,0,0
1.39936866725E9,205,5,0,0
1.39937227225E9,205,5,0,0
1.39937587625E9,205,5,0,0
1.39937947925E9,205,5,0,0
1.39938308525E9,206,6,0,0
1.39938669525E9,218,7,0,0
1.39939030125E9,218,7,0,0
1.39939390925E9,217,6,0,0
1.39939753325E9,217,6,0,0
1.39940115325E9,229,7,0,0
1.39940479225E9,229,7,0,0
1.39940843325E9,265,8,0,0
1.39941203425E9,265,8,0,0
1.39941564725E9,265,8,0,0
1.39941925225E9,361,9,0,0
1.39942296225E9,349,9,0,0
1.39942661025E9,421,12,0,0
1.39943023125E9,373,10,0,0
1.39943390525E9,373,10,0,0
1.39943755725E9,373,10,0,0
1.39944122725E9,349,9,0,0
1.39944488725E9,349,9,0,0
1.39944852025E9,349,9,0,0
1.39945216625E9,349,9,0,0
1.39945577825E9,289,8,0,0
1.39945937925E9,289,8,0,0
1.39946301025E9,289,8,0,0
1.39946664125E9,289,8,0,0
1.39947037225E9,313,10,0,0
1.39947397425E9,325,11,0,0
1.39947758625E9,325,11,0,0
1.39948120225E9,421,16,0,0
1.39948481425E9,421,16,0,0
1.39948842625E9,397,15,0,0
1.39949205825E9,397,15,0,0
1.39949566325E9,385,14,0,0
1.39949927025E9,385,14,0,0
1.39950288225E9,397,15,0,0
1.39950648925E9,386,12,0,0
1.39951012725E9,386,12,0,0
1.39951373425E9,386,12,0,0
1.39951733725E9,374,11,0,0
1.39952095225E9,374,11,0,0
1.39952469725E9,350,10,0,0
1.39952836025E9,350,10,0,0
1.39953200525E9,338,9,0,0
1.39953563525E9,326,8,0,0
1.39953923825E9,314,7,0,0
1.39954288125E9,314,7,0,0
1.39954651625E9,314,7,0,0
1.39955020125E9,374,8,0,0
1.39955380825E9,374,8,0,0
1.39955742725E9,374,8,0,0
1.39956104225E9,422,10,0,0
1.39956464825E9,314,9,0,0
1.39956826225E9,290,7,0,0
1.39957188725E9,338,11,0,0
1.39957549325E9,291,8,0,0
1.39957913225E9,302,7,0,0
1.39958274925E9,290,6,0,0
1.39958638525E9,302,7,0,0
1.39959003625E9,302,7,0,0
1.39959364725E9,278,6,0,0
1.39959729325E9,302,8,0,0
1.39960091325E9,302,8,0,0
1.39960453425E9,278,7,0,0
1.39960813825E9,302,8,0,0
1.39961175725E9,302,8,0,0
1.39961536225E9,302,8,0,0
1.39961897925E9,290,7,0,0
1.39962260725E9,266,5,0,0
1.39962621425E9,266,5,0,0
1.39962982125E9,266,5,0,0
1.39963344125E9,266,5,0,0
1.39963704725E9,266,5,0,0
1.39964070725E9,266,5,0,0
1.39964432525E9,266,5,0,0
1.39964794625E9,266,5,0,0
1.39965155425E9,266,5,0,0
1.39965522725E9,242,4,0,0
1.39965883625E9,242,4,0,0
1.39966243825E9,314,7,0,0
1.39966604625E9,290,6,0,0
1.39966969825E9,266,5,0,0
1.39967331025E9,266,5,0,0
1.39967693925E9,266,5,0,0
1.39968054725E9,338,8,0,0
1.39968416725E9,254,6,0,0
1.39968778925E9,254,6,0,0
1.39969139325E9,254,6,0,0
1.3996949945E9,254,6,0,0
1.39969859525E9,254,6,0,0
1.39970219575E9,254,6,0,0
